Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.163,1,0.004,0,460.877,0
1.177,2,0.004,0.014,33142.9,0
1.183,3,0.004,0.006,50000,0
1.197,4,0.004,0.014,43058.8,0
1.209,5,0.004,0.012,43478.3,0
1.229,6,0.004,0.02,37333.3,0
1.229,7,0.004,0,45454.5,0
1.243,8,0.004,0.014,43300,0
1.243,9,0.004,0,50000,0
1.257,10,0.004,0.014,47489.4,0
1.263,11,0.004,0.006,50000,0
1.277,12,0.004,0.014,33142.9,0
1.283,13,0.004,0.006,50000,0
1.303,14,0.004,0.02,38400,0
1.303,15,0.004,0,51800,0
1.317,16,0.004,0.014,45629.6,0
1.323,17,0.004,0.006,50000,0
1.337,18,0.004,0.014,46810.8,0
1.343,19,0.004,0.006,50000,0
1.362,20,0.004,0.019,45090.9,0
1.363,21,0.004,0.001,50000,0
1.376,22,0.004,0.013,35692.3,0
1.383,23,0.004,0.007,50000,0
1.397,24,0.004,0.014,43058.8,0
1.403,25,0.004,0.006,50000,0
1.417,26,0.004,0.014,45629.6,0
1.423,27,0.004,0.006,50000,0
1.442,28,0.004,0.019,43848.1,0
1.443,29,0.004,0.001,50000,0
1.456,30,0.004,0.013,48000,0
1.463,31,0.004,0.007,50000,0
1.477,32,0.004,0.014,33142.9,0
1.483,33,0.004,0.006,50000,0
1.503,34,0.004,0.02,36600,0
1.503,35,0.004,0,50000,0
1.523,36,0.004,0.02,41066.7,0
1.523,37,0.004,0,50000,0
1.537,38,0.004,0.014,46810.8,0
1.543,39,0.004,0.006,50000,0
1.557,40,0.004,0.014,47489.4,0
1.563,41,0.004,0.006,50000,0
1.582,42,0.004,0.019,24421.1,0
1.583,43,0.004,0.001,50000,0
1.596,44,0.004,0.013,44363.6,0
1.603,45,0.004,0.007,50000,0
1.617,46,0.004,0.014,45629.6,0
1.623,47,0.004,0.006,50000,0
1.637,48,0.004,0.014,46810.8,0
1.643,49,0.004,0.006,50000,0
1.663,50,0.004,0.02,44640,0
1.663,51,0.004,0,0,0
1.683,52,0.004,0.02,50000,0
1.683,53,0.004,0,76800,0
1.697,54,0.004,0.014,58823.5,0
1.703,55,0.004,0.006,63400,0
1.723,56,0.004,0.02,50000,0
1.723,57,0.004,0,58933.3,0
