Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.123,1,0.004,0,477.293,0
1.143,2,0.004,0.02,23200,0
1.15,3,0.004,0.007,37037,0
1.163,4,0.004,0.013,38400,0
1.163,5,0.004,0,51800,0
1.177,6,0.004,0.014,45629.6,0
1.189,7,0.004,0.012,45454.5,0
1.209,8,0.004,0.02,40279.1,0
1.209,9,0.004,0,46511.6,0
1.223,10,0.004,0.014,44640,0
1.223,11,0.004,0,0,0
1.237,12,0.004,0.014,71428.6,0
1.243,13,0.004,0.006,76800,0
1.262,14,0.004,0.019,51282.1,0
1.263,15,0.004,0.001,63400,0
1.276,16,0.004,0.013,56603.8,0
1.283,17,0.004,0.007,58933.3,0
1.297,18,0.004,0.014,54054.1,0
1.303,19,0.004,0.006,56700,0
1.317,20,0.004,0.014,53191.5,0
1.323,21,0.004,0.006,55360,0
1.337,22,0.004,0.014,33142.9,0
1.343,23,0.004,0.006,50000,0
1.357,24,0.004,0.014,43058.8,0
1.363,25,0.004,0.006,50000,0
1.382,26,0.004,0.019,41762.7,0
1.383,27,0.004,0.001,50000,0
1.396,28,0.004,0.013,47452.1,0
1.403,29,0.004,0.007,50000,0
1.417,30,0.004,0.014,47489.4,0
1.423,31,0.004,0.006,50000,0
1.437,32,0.004,0.014,33142.9,0
1.443,33,0.004,0.006,50000,0
1.457,34,0.004,0.014,43058.8,0
1.463,35,0.004,0.006,50000,0
1.477,36,0.004,0.014,45629.6,0
1.489,37,0.004,0.012,45454.5,0
1.509,38,0.004,0.02,40279.1,0
1.509,39,0.004,0,46511.6,0
1.529,40,0.004,0.02,42113.2,0
1.529,41,0.004,0,0,0
1.543,42,0.004,0.014,71428.6,0
1.543,43,0.004,0,109714,0
1.557,44,0.004,0.014,71428.6,0
1.563,45,0.004,0.006,74588.2,0
1.577,46,0.004,0.014,62500,0
1.583,47,0.004,0.006,65481.5,0
1.597,48,0.004,0.014,58823.5,0
1.603,49,0.004,0.006,61297.3,0
1.617,50,0.004,0.014,56818.2,0
1.623,51,0.004,0.006,58893.6,0
1.637,52,0.004,0.014,55555.6,0
1.643,53,0.004,0.006,89333.3,0
1.657,54,0.004,0.014,50000,0
1.663,55,0.004,0.006,59076.9,0
1.677,56,0.004,0.014,50000,0
1.683,57,0.004,0.006,55130.4,0
1.697,58,0.004,0.014,50000,0
1.703,59,0.004,0.006,53575.8,0
1.723,60,0.004,0.02,46511.6,0
1.723,61,0.004,0,52744.2,0
1.737,62,0.004,0.014,50000,0
1.743,63,0.004,0.006,89333.3,0
