Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.151,1,0.004,0,465.682,0
1.165,2,0.004,0.014,33142.9,0
1.171,3,0.004,0.006,50000,0
1.185,4,0.004,0.014,43058.8,0
1.191,5,0.004,0.006,50000,0
1.205,6,0.004,0.014,45629.6,0
1.211,7,0.004,0.006,50000,0
1.225,8,0.004,0.014,46810.8,0
1.231,9,0.004,0.006,50000,0
1.245,10,0.004,0.014,47489.4,0
1.251,11,0.004,0.006,50000,0
1.265,12,0.004,0.014,33142.9,0
1.271,13,0.004,0.006,50000,0
1.285,14,0.004,0.014,43058.8,0
1.297,15,0.004,0.012,43478.3,0
1.317,16,0.004,0.02,37333.3,0
1.317,17,0.004,0,45454.5,0
1.331,18,0.004,0.014,43300,0
1.331,19,0.004,0,50000,0
1.345,20,0.004,0.014,47489.4,0
1.351,21,0.004,0.006,50000,0
1.365,22,0.004,0.014,33142.9,0
1.371,23,0.004,0.006,50000,0
1.385,24,0.004,0.014,43058.8,0
1.391,25,0.004,0.006,50000,0
1.405,26,0.004,0.014,45629.6,0
1.411,27,0.004,0.006,50000,0
1.425,28,0.004,0.014,46810.8,0
1.431,29,0.004,0.006,50000,0
1.445,30,0.004,0.014,47489.4,0
1.451,31,0.004,0.006,50000,0
1.465,32,0.004,0.014,33142.9,0
1.471,33,0.004,0.006,50000,0
1.485,34,0.004,0.014,43058.8,0
1.491,35,0.004,0.006,50000,0
1.505,36,0.004,0.014,45629.6,0
1.517,37,0.004,0.012,45454.5,0
1.531,38,0.004,0.014,43300,0
1.531,39,0.004,0,50000,0
1.545,40,0.004,0.014,47489.4,0
1.557,41,0.004,0.012,47169.8,0
1.571,42,0.004,0.014,33142.9,0
1.571,43,0.004,0,71428.6,0
1.585,44,0.004,0.014,52285.7,0
1.591,45,0.004,0.006,58823.5,0
1.605,46,0.004,0.014,51333.3,0
1.611,47,0.004,0.006,55555.6,0
1.625,48,0.004,0.014,50941.2,0
1.631,49,0.004,0.006,54054.1,0
1.645,50,0.004,0.014,50727.3,0
1.651,51,0.004,0.006,53191.5,0
1.665,52,0.004,0.014,50592.6,0
1.671,53,0.004,0.006,89333.3,0
1.685,54,0.004,0.014,50000,0
1.691,55,0.004,0.006,59076.9,0
1.705,56,0.004,0.014,50000,0
1.711,57,0.004,0.006,55130.4,0
1.725,58,0.004,0.014,50000,0
1.731,59,0.004,0.006,53575.8,0
1.745,60,0.004,0.014,50000,0
1.751,61,0.004,0.006,52744.2,0
1.765,62,0.004,0.014,50000,0
1.771,63,0.004,0.006,89333.3,0
1.785,64,0.004,0.014,50000,0
1.791,65,0.004,0.006,59076.9,0
1.805,66,0.004,0.014,50000,0
1.811,67,0.004,0.006,55130.4,0
1.825,68,0.004,0.014,50000,0
1.831,69,0.004,0.006,53575.8,0
1.845,70,0.004,0.014,50000,0
1.851,71,0.004,0.006,52744.2,0
1.865,72,0.004,0.014,50000,0
1.871,73,0.004,0.006,89333.3,0
1.885,74,0.004,0.014,50000,0
1.891,75,0.004,0.006,59076.9,0
1.905,76,0.004,0.014,50000,0
1.917,77,0.004,0.012,48769.2,0
1.931,78,0.004,0.014,45454.5,0
1.931,79,0.004,0,53575.8,0
1.945,80,0.004,0.014,50000,0
1.951,81,0.004,0.006,52744.2,0
1.965,82,0.004,0.014,50000,0
1.971,83,0.004,0.006,89333.3,0
1.985,84,0.004,0.014,50000,0
1.991,85,0.004,0.006,59076.9,0
2.005,86,0.004,0.014,50000,0
2.011,87,0.004,0.006,55130.4,0
2.025,88,0.004,0.014,50000,0
2.031,89,0.004,0.006,53575.8,0
2.045,90,0.004,0.014,50000,0
2.051,91,0.004,0.006,52744.2,0
2.065,92,0.004,0.014,50000,0
2.071,93,0.004,0.006,89333.3,0
2.085,94,0.004,0.014,50000,0
2.091,95,0.004,0.006,59076.9,0
2.105,96,0.004,0.014,50000,0
2.111,97,0.004,0.006,55130.4,0
2.125,98,0.004,0.014,50000,0
2.131,99,0.004,0.006,53575.8,0
2.145,100,0.004,0.014,50000,0
2.151,101,0.004,0.006,52744.2,0
2.165,102,0.004,0.014,50000,0
2.171,103,0.004,0.006,89333.3,0
2.185,104,0.004,0.014,50000,0
2.191,105,0.004,0.006,59076.9,0
2.205,106,0.004,0.014,50000,0
2.211,107,0.004,0.006,55130.4,0
2.225,108,0.004,0.014,50000,0
2.231,109,0.004,0.006,53575.8,0
2.245,110,0.004,0.014,50000,0
2.251,111,0.004,0.006,52744.2,0
2.265,112,0.004,0.014,50000,0
2.271,113,0.004,0.006,89333.3,0
2.285,114,0.004,0.014,50000,0
2.291,115,0.004,0.006,59076.9,0
2.305,116,0.004,0.014,50000,0
2.311,117,0.004,0.006,55130.4,0
2.325,118,0.004,0.014,50000,0
2.331,119,0.004,0.006,53575.8,0
2.345,120,0.004,0.014,50000,0
2.357,121,0.004,0.012,49304.3,0
2.371,122,0.004,0.014,47169.8,0
2.371,123,0.004,0,0,0
2.385,124,0.004,0.014,71428.6,0
2.391,125,0.004,0.006,76800,0
2.405,126,0.004,0.014,58823.5,0
2.417,127,0.004,0.012,55130.4,0
2.431,128,0.004,0.014,51200,0
2.431,129,0.004,0,60133.3,0
2.445,130,0.004,0.014,54054.1,0
2.451,131,0.004,0.006,56700,0
2.465,132,0.004,0.014,53191.5,0
2.471,133,0.004,0.006,55360,0
2.485,134,0.004,0.014,33142.9,0
2.497,135,0.004,0.012,38461.5,0
2.511,136,0.004,0.014,36600,0
2.511,137,0.004,0,50000,0
2.525,138,0.004,0.014,45629.6,0
2.531,139,0.004,0.006,50000,0
2.545,140,0.004,0.014,46810.8,0
2.551,141,0.004,0.006,50000,0
2.565,142,0.004,0.014,47489.4,0
2.577,143,0.004,0.012,47169.8,0
2.591,144,0.004,0.014,33142.9,0
2.591,145,0.004,0,71428.6,0
