Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.168,1,0.004,0,458.904,0
1.188,2,0.004,0.02,23200,0
1.19,3,0.004,0.002,45454.5,0
1.214,4,0.004,0.024,31826.1,0
1.214,5,0.004,0,43478.3,0
1.228,6,0.004,0.014,41066.7,0
1.228,7,0.004,0,50000,0
1.242,8,0.004,0.014,46810.8,0
1.249,9,0.004,0.007,49382.7,0
1.269,10,0.004,0.02,44198,0
1.28,11,0.004,0.011,48727.3,0
1.288,12,0.004,0.008,56421.1,0
1.288,13,0.004,0,84631.6,0
1.308,14,0.004,0.02,51282.1,0
1.309,15,0.004,0.001,63400,0
1.322,16,0.004,0.013,56603.8,0
1.328,17,0.004,0.006,59932.2,0
1.354,18,0.004,0.026,47058.8,0
1.354,19,0.004,0,53364.7,0
1.368,20,0.004,0.014,50505.1,0
1.368,21,0.004,0,55919.2,0
1.388,22,0.004,0.02,50420.2,0
1.389,23,0.004,0.001,536000,0
1.414,24,0.004,0.025,38461.5,0
1.414,25,0.004,0,59076.9,0
1.428,26,0.004,0.014,50000,0
1.429,27,0.004,0.001,61853.7,0
1.442,28,0.004,0.013,55555.6,0
1.449,29,0.004,0.007,57967.2,0
1.482,30,0.004,0.033,42553.2,0
1.482,31,0.004,0,48255.3,0
1.488,32,0.004,0.006,50720,0
1.49,33,0.004,0.002,268000,0
1.502,34,0.004,0.012,66285.7,0
1.508,35,0.004,0.006,73200,0
1.522,36,0.004,0.014,56705.9,0
1.528,37,0.004,0.006,61600,0
1.542,38,0.004,0.014,54222.2,0
1.548,39,0.004,0.006,57733.3,0
1.562,40,0.004,0.014,53081.1,0
1.568,41,0.004,0.006,55800,0
1.582,42,0.004,0.014,52425.5,0
1.588,43,0.004,0.006,54640,0
1.602,44,0.004,0.014,33142.9,0
1.608,45,0.004,0.006,50000,0
1.622,46,0.004,0.014,43058.8,0
1.628,47,0.004,0.006,50000,0
1.642,48,0.004,0.014,45629.6,0
1.648,49,0.004,0.006,50000,0
1.662,50,0.004,0.014,46810.8,0
1.668,51,0.004,0.006,50000,0
1.682,52,0.004,0.014,47489.4,0
1.688,53,0.004,0.006,50000,0
1.708,54,0.004,0.02,23200,0
1.709,55,0.004,0.001,47619,0
1.722,56,0.004,0.013,43058.8,0
1.728,57,0.004,0.006,50000,0
1.742,58,0.004,0.014,45629.6,0
1.748,59,0.004,0.006,50000,0
1.762,60,0.004,0.014,46810.8,0
1.768,61,0.004,0.006,50000,0
1.782,62,0.004,0.014,47489.4,0
1.788,63,0.004,0.006,50000,0
1.802,64,0.004,0.014,33142.9,0
1.808,65,0.004,0.006,50000,0
1.822,66,0.004,0.014,43058.8,0
1.828,67,0.004,0.006,50000,0
1.847,68,0.004,0.019,41762.7,0
1.848,69,0.004,0.001,50000,0
1.861,70,0.004,0.013,47452.1,0
1.868,71,0.004,0.007,50000,0
1.882,72,0.004,0.014,47489.4,0
1.888,73,0.004,0.006,50000,0
1.902,74,0.004,0.014,33142.9,0
1.908,75,0.004,0.006,50000,0
1.922,76,0.004,0.014,43058.8,0
1.928,77,0.004,0.006,50000,0
1.942,78,0.004,0.014,45629.6,0
1.948,79,0.004,0.006,50000,0
1.962,80,0.004,0.014,46810.8,0
1.968,81,0.004,0.006,50000,0
1.982,82,0.004,0.014,47489.4,0
1.988,83,0.004,0.006,50000,0
2.002,84,0.004,0.014,33142.9,0
2.008,85,0.004,0.006,50000,0
2.022,86,0.004,0.014,43058.8,0
2.028,87,0.004,0.006,50000,0
2.042,88,0.004,0.014,45629.6,0
2.048,89,0.004,0.006,50000,0
2.062,90,0.004,0.014,46810.8,0
2.068,91,0.004,0.006,50000,0
2.082,92,0.004,0.014,47489.4,0
2.088,93,0.004,0.006,50000,0
2.102,94,0.004,0.014,33142.9,0
2.108,95,0.004,0.006,50000,0
2.122,96,0.004,0.014,43058.8,0
2.134,97,0.004,0.012,43478.3,0
2.148,98,0.004,0.014,41066.7,0
2.148,99,0.004,0,50000,0
2.162,100,0.004,0.014,46810.8,0
2.168,101,0.004,0.006,50000,0
2.182,102,0.004,0.014,47489.4,0
2.188,103,0.004,0.006,50000,0
2.202,104,0.004,0.014,33142.9,0
2.209,105,0.004,0.007,47619,0
2.229,106,0.004,0.02,35707.3,0
2.23,107,0.004,0.001,47619,0
2.245,108,0.004,0.015,43228.1,0
2.248,109,0.004,0.003,50000,0
2.259,110,0.004,0.011,48788.7,0
2.268,111,0.004,0.009,50000,0
2.282,112,0.004,0.014,47489.4,0
2.288,113,0.004,0.006,50000,0
2.302,114,0.004,0.014,33142.9,0
2.308,115,0.004,0.006,50000,0
2.322,116,0.004,0.014,43058.8,0
2.328,117,0.004,0.006,50000,0
2.342,118,0.004,0.014,45629.6,0
2.348,119,0.004,0.006,50000,0
2.367,120,0.004,0.019,43848.1,0
2.368,121,0.004,0.001,50000,0
2.381,122,0.004,0.013,48000,0
2.388,123,0.004,0.007,50000,0
2.402,124,0.004,0.014,33142.9,0
2.408,125,0.004,0.006,50000,0
2.422,126,0.004,0.014,43058.8,0
2.428,127,0.004,0.006,50000,0
2.442,128,0.004,0.014,45629.6,0
2.448,129,0.004,0.006,50000,0
2.462,130,0.004,0.014,46810.8,0
2.468,131,0.004,0.006,50000,0
2.482,132,0.004,0.014,47489.4,0
2.488,133,0.004,0.006,50000,0
2.502,134,0.004,0.014,33142.9,0
2.508,135,0.004,0.006,50000,0
2.522,136,0.004,0.014,43058.8,0
2.528,137,0.004,0.006,50000,0
2.542,138,0.004,0.014,45629.6,0
2.548,139,0.004,0.006,50000,0
2.562,140,0.004,0.014,46810.8,0
2.568,141,0.004,0.006,50000,0
2.582,142,0.004,0.014,47489.4,0
2.588,143,0.004,0.006,50000,0
2.602,144,0.004,0.014,33142.9,0
2.608,145,0.004,0.006,50000,0
2.622,146,0.004,0.014,43058.8,0
2.628,147,0.004,0.006,50000,0
2.642,148,0.004,0.014,45629.6,0
2.649,149,0.004,0.007,49180.3,0
2.663,150,0.004,0.014,46186.7,0
2.668,151,0.004,0.005,50000,0
2.682,152,0.004,0.014,47489.4,0
2.688,153,0.004,0.006,50000,0
2.702,154,0.004,0.014,33142.9,0
2.708,155,0.004,0.006,50000,0
2.722,156,0.004,0.014,43058.8,0
2.728,157,0.004,0.006,50000,0
2.742,158,0.004,0.014,45629.6,0
