Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.184,1,0.004,0,452.703,0
1.204,2,0.004,0.02,23200,0
1.204,3,0.004,0,50000,0
1.218,4,0.004,0.014,43058.8,0
1.218,5,0.004,0,58823.5,0
1.232,6,0.004,0.014,51333.3,0
1.238,7,0.004,0.006,55555.6,0
1.252,8,0.004,0.014,50941.2,0
1.258,9,0.004,0.006,54054.1,0
1.272,10,0.004,0.014,50727.3,0
1.278,11,0.004,0.006,53191.5,0
1.292,12,0.004,0.014,50592.6,0
1.298,13,0.004,0.006,89333.3,0
1.318,14,0.004,0.02,38461.5,0
1.318,15,0.004,0,59076.9,0
1.332,16,0.004,0.014,50000,0
1.338,17,0.004,0.006,55130.4,0
1.358,18,0.004,0.02,45454.5,0
1.358,19,0.004,0,53575.8,0
1.372,20,0.004,0.014,50000,0
1.378,21,0.004,0.006,52744.2,0
1.392,22,0.004,0.014,50000,0
1.398,23,0.004,0.006,89333.3,0
1.417,24,0.004,0.019,40000,0
1.418,25,0.004,0.001,59076.9,0
1.431,26,0.004,0.013,51282.1,0
1.438,27,0.004,0.007,55130.4,0
1.458,28,0.004,0.02,45454.5,0
1.459,29,0.004,0.001,52776.1,0
1.472,30,0.004,0.013,50000,0
1.484,31,0.004,0.012,49304.3,0
1.51,32,0.004,0.026,42372.9,0
1.51,33,0.004,0,0,0
1.518,34,0.004,0.008,134000,0
1.522,35,0.004,0.004,134000,0
1.532,36,0.004,0.01,90909.1,0
1.538,37,0.004,0.006,90571.4,0
1.552,38,0.004,0.014,71428.6,0
1.558,39,0.004,0.006,73666.7,0
1.572,40,0.004,0.014,64516.1,0
1.578,41,0.004,0.006,66705.9,0
1.592,42,0.004,0.014,60975.6,0
1.598,43,0.004,0.006,62909.1,0
1.612,44,0.004,0.014,58823.5,0
1.618,45,0.004,0.006,89333.3,0
1.632,46,0.004,0.014,50000,0
1.638,47,0.004,0.006,59076.9,0
1.652,48,0.004,0.014,50000,0
1.658,49,0.004,0.006,55130.4,0
1.672,50,0.004,0.014,50000,0
1.678,51,0.004,0.006,53575.8,0
1.692,52,0.004,0.014,50000,0
1.698,53,0.004,0.006,52744.2,0
1.718,54,0.004,0.02,47849.1,0
1.718,55,0.004,0,0,0
1.732,56,0.004,0.014,66285.7,0
1.738,57,0.004,0.006,73200,0
1.752,58,0.004,0.014,56705.9,0
1.758,59,0.004,0.006,61600,0
1.772,60,0.004,0.014,54222.2,0
1.778,61,0.004,0.006,57733.3,0
1.798,62,0.004,0.02,50000,0
1.798,63,0.004,0,56700,0
1.82,64,0.004,0.022,48313.7,0
1.82,65,0.004,0,0,0
1.84,66,0.004,0.02,50000,0
1.844,67,0.004,0.004,64000,0
1.858,68,0.004,0.014,54526.3,0
1.858,69,0.004,0,68631.6,0
1.878,70,0.004,0.02,51724.1,0
1.878,71,0.004,0,60965.5,0
1.898,72,0.004,0.02,51282.1,0
1.898,73,0.004,0,58153.8,0
1.912,74,0.004,0.014,54347.8,0
1.918,75,0.004,0.006,56489.8,0
1.932,76,0.004,0.014,53571.4,0
1.938,77,0.004,0.006,89333.3,0
1.952,78,0.004,0.014,50000,0
1.958,79,0.004,0.006,59076.9,0
1.978,80,0.004,0.02,43478.3,0
1.978,81,0.004,0,55130.4,0
1.998,82,0.004,0.02,45454.5,0
1.999,83,0.004,0.001,52776.1,0
2.012,84,0.004,0.013,50000,0
2.018,85,0.004,0.006,52744.2,0
2.032,86,0.004,0.014,50000,0
2.038,87,0.004,0.006,89333.3,0
2.052,88,0.004,0.014,50000,0
2.058,89,0.004,0.006,59076.9,0
2.072,90,0.004,0.014,50000,0
2.085,91,0.004,0.013,47849.1,0
2.11,92,0.004,0.025,39384.6,0
2.11,93,0.004,0,46256.4,0
2.118,94,0.004,0.008,48186,0
2.118,95,0.004,0,54418.6,0
2.132,96,0.004,0.014,50000,0
2.138,97,0.004,0.006,89333.3,0
2.158,98,0.004,0.02,38461.5,0
2.158,99,0.004,0,59076.9,0
2.178,100,0.004,0.02,43478.3,0
2.178,101,0.004,0,55130.4,0
2.192,102,0.004,0.014,50000,0
2.204,103,0.004,0.012,49111.1,0
2.224,104,0.004,0.02,43478.3,0
2.224,105,0.004,0,49304.3,0
2.238,106,0.004,0.014,47169.8,0
2.238,107,0.004,0,0,0
2.258,108,0.004,0.02,50000,0
2.258,109,0.004,0,76800,0
2.278,110,0.004,0.02,50000,0
2.278,111,0.004,0,63400,0
2.298,112,0.004,0.02,50000,0
2.3,113,0.004,0.002,57032.3,0
2.312,114,0.004,0.012,54054.1,0
2.324,115,0.004,0.012,52744.2,0
2.338,116,0.004,0.014,50000,0
2.338,117,0.004,0,0,0
2.352,118,0.004,0.014,71428.6,0
2.358,119,0.004,0.006,76800,0
2.372,120,0.004,0.014,58823.5,0
2.378,121,0.004,0.006,63400,0
2.398,122,0.004,0.02,50000,0
2.398,123,0.004,0,58933.3,0
2.418,124,0.004,0.02,50000,0
2.418,125,0.004,0,56700,0
2.432,126,0.004,0.014,53191.5,0
2.438,127,0.004,0.006,55360,0
2.458,128,0.004,0.02,23200,0
2.458,129,0.004,0,50000,0
2.478,130,0.004,0.02,36600,0
2.478,131,0.004,0,50000,0
2.504,132,0.004,0.026,37333.3,0
2.504,133,0.004,0,45454.5,0
2.524,134,0.004,0.02,40279.1,0
2.524,135,0.004,0,46511.6,0
2.538,136,0.004,0.014,44640,0
2.538,137,0.004,0,0,0
2.552,138,0.004,0.014,71428.6,0
2.559,139,0.004,0.007,73142.9,0
2.574,140,0.004,0.015,55555.6,0
2.585,141,0.004,0.011,53957.4,0
2.604,142,0.004,0.019,46545.5,0
2.604,143,0.004,0,54666.7,0
2.618,144,0.004,0.014,50000,0
2.618,145,0.004,0,56700,0
2.632,146,0.004,0.014,53191.5,0
2.638,147,0.004,0.006,55360,0
2.658,148,0.004,0.02,23200,0
2.658,149,0.004,0,50000,0
2.678,150,0.004,0.02,36600,0
2.678,151,0.004,0,50000,0
2.692,152,0.004,0.014,45629.6,0
2.698,153,0.004,0.006,50000,0
2.712,154,0.004,0.014,46810.8,0
2.718,155,0.004,0.006,50000,0
2.738,156,0.004,0.02,44640,0
2.738,157,0.004,0,0,0
2.752,158,0.004,0.014,71428.6,0
2.759,159,0.004,0.007,73142.9,0
2.773,160,0.004,0.014,57142.9,0
2.778,161,0.004,0.005,63400,0
2.798,162,0.004,0.02,50000,0
2.798,163,0.004,0,58933.3,0
2.818,164,0.004,0.02,50000,0
2.818,165,0.004,0,56700,0
2.832,166,0.004,0.014,53191.5,0
2.838,167,0.004,0.006,55360,0
2.86,168,0.004,0.022,21090.9,0
2.86,169,0.004,0,45454.5,0
2.88,170,0.004,0.02,34857.1,0
2.88,171,0.004,0,47619,0
2.894,172,0.004,0.014,44000,0
2.898,173,0.004,0.004,50000,0
2.908,174,0.004,0.01,49485.7,0
2.918,175,0.004,0.01,50000,0
2.932,176,0.004,0.014,47489.4,0
2.938,177,0.004,0.006,50000,0
2.964,178,0.004,0.026,17846.2,0
2.964,179,0.004,0,38461.5,0
2.978,180,0.004,0.014,36600,0
2.978,181,0.004,0,50000,0
2.992,182,0.004,0.014,45629.6,0
2.998,183,0.004,0.006,50000,0
3.012,184,0.004,0.014,46810.8,0
3.018,185,0.004,0.006,50000,0
3.032,186,0.004,0.014,47489.4,0
3.038,187,0.004,0.006,50000,0
3.058,188,0.004,0.02,23200,0
3.059,189,0.004,0.001,47619,0
3.072,190,0.004,0.013,43058.8,0
3.085,191,0.004,0.013,42553.2,0
3.099,192,0.004,0.014,41573.8,0
3.101,193,0.004,0.002,48761.9,0
3.124,194,0.004,0.023,41953.5,0
3.124,195,0.004,0,48186,0
3.138,196,0.004,0.014,44640,0
3.138,197,0.004,0,0,0
3.158,198,0.004,0.02,50000,0
3.158,199,0.004,0,76800,0
3.172,200,0.004,0.014,58823.5,0
3.178,201,0.004,0.006,63400,0
3.197,202,0.004,0.019,50847.5,0
3.198,203,0.004,0.001,58933.3,0
3.211,204,0.004,0.013,54794.5,0
3.225,205,0.004,0.014,52137.9,0
3.244,206,0.004,0.019,47849.1,0
3.244,207,0.004,0,0,0
3.258,208,0.004,0.014,66285.7,0
3.258,209,0.004,0,104571,0
3.272,210,0.004,0.014,68857.1,0
3.278,211,0.004,0.006,72470.6,0
3.292,212,0.004,0.014,61000,0
3.298,213,0.004,0.006,64148.1,0
3.317,214,0.004,0.019,53808.2,0
3.32,215,0.004,0.003,58736.8,0
3.331,216,0.004,0.011,56643.7,0
3.338,217,0.004,0.007,58127.7,0
3.352,218,0.004,0.014,54888.9,0
3.358,219,0.004,0.006,89333.3,0
3.377,220,0.004,0.019,40000,0
3.378,221,0.004,0.001,59076.9,0
3.391,222,0.004,0.013,51282.1,0
3.398,223,0.004,0.007,55130.4,0
3.412,224,0.004,0.014,50000,0
3.418,225,0.004,0.006,53575.8,0
3.432,226,0.004,0.014,50000,0
3.438,227,0.004,0.006,52744.2,0
3.452,228,0.004,0.014,50000,0
3.458,229,0.004,0.006,89333.3,0
3.472,230,0.004,0.014,50000,0
3.478,231,0.004,0.006,59076.9,0
3.498,232,0.004,0.02,43478.3,0
3.5,233,0.004,0.002,52833.3,0
3.519,234,0.004,0.019,45850.7,0
3.519,235,0.004,0,53850.7,0
3.533,236,0.004,0.014,49382.7,0
3.538,237,0.004,0.005,52744.2,0
3.552,238,0.004,0.014,50000,0
3.558,239,0.004,0.006,89333.3,0
3.578,240,0.004,0.02,38461.5,0
3.578,241,0.004,0,59076.9,0
3.598,242,0.004,0.02,45043.5,0
