Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.213,1,0.004,0,441.88,0
1.233,2,0.004,0.02,26800,0
1.233,3,0.004,0,53600,0
1.259,4,0.004,0.026,34956.5,0
1.259,5,0.004,0,46608.7,0
1.273,6,0.004,0.014,44666.7,0
1.273,7,0.004,0,53600,0
1.293,8,0.004,0.02,46900,0
1.293,9,0.004,0,53600,0
1.313,10,0.004,0.02,48240,0
1.316,11,0.004,0.003,178667,0
1.327,12,0.004,0.011,76571.4,0
1.327,13,0.004,0,114857,0
1.341,14,0.004,0.014,58571.4,0
1.346,15,0.004,0.005,65939.4,0
1.366,16,0.004,0.02,49811.3,0
1.373,17,0.004,0.007,52933.3,0
1.394,18,0.004,0.021,45827.2,0
1.394,19,0.004,0,52444.4,0
1.413,20,0.004,0.019,47840,0
1.416,21,0.004,0.003,178667,0
1.433,22,0.004,0.017,53600,0
1.433,23,0.004,0,80400,0
1.449,24,0.004,0.016,59555.6,0
1.451,25,0.004,0.002,70526.3,0
1.473,26,0.004,0.022,47600,0
1.473,27,0.004,0,56533.3,0
1.499,28,0.004,0.026,45674.4,0
1.499,29,0.004,0,51907,0
1.507,30,0.004,0.008,53191.5,0
1.507,31,0.004,0,58893.6,0
1.527,32,0.004,0.02,51368.4,0
1.532,33,0.004,0.005,107200,0
1.553,34,0.004,0.021,41230.8,0
1.553,35,0.004,0,61846.2,0
1.573,36,0.004,0.02,46608.7,0
1.573,37,0.004,0,58260.9,0
1.594,38,0.004,0.021,48000,0
1.594,39,0.004,0,56000,0
1.614,40,0.004,0.02,49287.4,0
1.614,41,0.004,0,55448.3,0
1.635,42,0.004,0.021,49629.6,0
1.635,43,0.004,0,0,0
1.659,44,0.004,0.024,44666.7,0
1.659,45,0.004,0,67000,0
1.668,46,0.004,0.009,64969.7,0
1.694,47,0.004,0.026,44745.8,0
1.699,48,0.004,0.005,49625,0
1.72,49,0.004,0.021,43670.6,0
1.72,50,0.004,0,49976.5,0
1.73,51,0.004,0.01,50357.9,0
1.731,52,0.004,0.001,55416.7,0
