Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.217,1,0.004,0,440.427,0
1.231,2,0.004,0.014,38285.7,0
1.231,3,0.004,0,76571.4,0
1.245,4,0.004,0.014,52285.7,0
1.245,5,0.004,0,71428.6,0
1.259,6,0.004,0.014,58666.7,0
1.265,7,0.004,0.006,62500,0
1.281,8,0.004,0.016,54125,0
1.291,9,0.004,0.01,54054.1,0
1.305,10,0.004,0.014,51545.5,0
1.311,11,0.004,0.006,53957.4,0
1.331,12,0.004,0.02,47929.8,0
1.331,13,0.004,0,0,0
1.345,14,0.004,0.014,76571.4,0
1.345,15,0.004,0,114857,0
1.36,16,0.004,0.015,68965.5,0
1.365,17,0.004,0.005,74588.2,0
1.38,18,0.004,0.015,61224.5,0
1.385,19,0.004,0.005,65481.5,0
1.405,20,0.004,0.02,54054.1,0
1.405,21,0.004,0,61297.3,0
1.419,22,0.004,0.014,56818.2,0
1.425,23,0.004,0.006,58893.6,0
1.44,24,0.004,0.015,55045.9,0
1.445,25,0.004,0.005,107200,0
1.466,26,0.004,0.021,38461.5,0
1.466,27,0.004,0,59076.9,0
1.486,28,0.004,0.02,43478.3,0
1.497,29,0.004,0.011,44491.2,0
1.505,30,0.004,0.008,47261.5,0
1.505,31,0.004,0,55507.7,0
1.525,32,0.004,0.02,47058.8,0
1.527,33,0.004,0.002,52137.9,0
1.54,34,0.004,0.013,50000,0
1.547,35,0.004,0.007,76571.4,0
1.561,36,0.004,0.014,47619,0
1.565,37,0.004,0.004,61440,0
1.575,38,0.004,0.01,57142.9,0
1.585,39,0.004,0.01,56355.6,0
1.6,40,0.004,0.015,50000,0
1.605,41,0.004,0.005,54400,0
1.62,42,0.004,0.015,50000,0
1.625,43,0.004,0.005,53364.7,0
1.64,44,0.004,0.015,50000,0
1.645,45,0.004,0.005,107200,0
1.66,46,0.004,0.015,50000,0
1.665,47,0.004,0.005,61440,0
1.68,48,0.004,0.015,50000,0
1.685,49,0.004,0.005,56355.6,0
1.699,50,0.004,0.014,50847.5,0
1.705,51,0.004,0.006,54400,0
1.724,52,0.004,0.019,47619,0
1.725,53,0.004,0.001,53364.7,0
1.738,54,0.004,0.013,51020.4,0
1.751,55,0.004,0.013,49873.9,0
1.765,56,0.004,0.014,33142.9,0
1.767,57,0.004,0.002,62500,0
1.78,58,0.004,0.013,50482.8,0
1.785,59,0.004,0.005,58823.5,0
1.805,60,0.004,0.02,45629.6,0
1.807,61,0.004,0.002,53571.4,0
1.821,62,0.004,0.014,49485.7,0
1.825,63,0.004,0.004,54054.1,0
1.841,64,0.004,0.016,49600,0
1.845,65,0.004,0.004,53191.5,0
1.861,66,0.004,0.016,49672.7,0
1.865,67,0.004,0.004,134000,0
1.881,68,0.004,0.016,50000,0
