Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.144,1,0.004,0,468.531,0
1.158,2,0.004,0.014,33142.9,0
1.164,3,0.004,0.006,50000,0
1.178,4,0.004,0.014,43058.8,0
1.184,5,0.004,0.006,50000,0
1.198,6,0.004,0.014,45629.6,0
1.204,7,0.004,0.006,50000,0
1.218,8,0.004,0.014,46810.8,0
1.224,9,0.004,0.006,50000,0
1.238,10,0.004,0.014,47489.4,0
1.244,11,0.004,0.006,50000,0
1.258,12,0.004,0.014,33142.9,0
1.264,13,0.004,0.006,50000,0
1.278,14,0.004,0.014,43058.8,0
1.284,15,0.004,0.006,50000,0
1.298,16,0.004,0.014,45629.6,0
1.304,17,0.004,0.006,50000,0
1.318,18,0.004,0.014,46810.8,0
1.324,19,0.004,0.006,50000,0
1.338,20,0.004,0.014,47489.4,0
1.344,21,0.004,0.006,50000,0
1.358,22,0.004,0.014,33142.9,0
1.364,23,0.004,0.006,50000,0
1.378,24,0.004,0.014,43058.8,0
1.384,25,0.004,0.006,50000,0
1.398,26,0.004,0.014,45629.6,0
1.404,27,0.004,0.006,50000,0
1.418,28,0.004,0.014,46810.8,0
1.424,29,0.004,0.006,50000,0
1.438,30,0.004,0.014,47489.4,0
1.444,31,0.004,0.006,50000,0
1.458,32,0.004,0.014,33142.9,0
1.464,33,0.004,0.006,50000,0
1.478,34,0.004,0.014,43058.8,0
1.484,35,0.004,0.006,50000,0
1.498,36,0.004,0.014,45629.6,0
1.504,37,0.004,0.006,50000,0
1.518,38,0.004,0.014,46810.8,0
1.524,39,0.004,0.006,50000,0
1.538,40,0.004,0.014,47489.4,0
1.544,41,0.004,0.006,50000,0
1.558,42,0.004,0.014,33142.9,0
1.564,43,0.004,0.006,50000,0
1.578,44,0.004,0.014,43058.8,0
1.584,45,0.004,0.006,50000,0
1.598,46,0.004,0.014,45629.6,0
1.604,47,0.004,0.006,50000,0
1.618,48,0.004,0.014,46810.8,0
1.624,49,0.004,0.006,50000,0
1.638,50,0.004,0.014,47489.4,0
1.644,51,0.004,0.006,50000,0
1.658,52,0.004,0.014,33142.9,0
1.664,53,0.004,0.006,50000,0
1.678,54,0.004,0.014,43058.8,0
1.684,55,0.004,0.006,50000,0
1.698,56,0.004,0.014,45629.6,0
1.704,57,0.004,0.006,50000,0
1.718,58,0.004,0.014,46810.8,0
1.724,59,0.004,0.006,50000,0
1.738,60,0.004,0.014,47489.4,0
1.744,61,0.004,0.006,50000,0
1.758,62,0.004,0.014,33142.9,0
1.764,63,0.004,0.006,50000,0
1.778,64,0.004,0.014,43058.8,0
