Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.208,1,0.004,0,443.709,0
1.234,2,0.004,0.026,20615.4,0
1.244,3,0.004,0.01,29777.8,0
1.26,4,0.004,0.016,30923.1,0
1.26,5,0.004,0,41230.8,0
1.276,6,0.004,0.016,39411.8,0
1.276,7,0.004,0,47294.1,0
1.284,8,0.004,0.008,49368.4,0
1.284,9,0.004,0,56421.1,0
1.308,10,0.004,0.024,48240,0
1.308,11,0.004,0,0,0
1.322,12,0.004,0.014,76571.4,0
1.322,13,0.004,0,114857,0
1.336,14,0.004,0.014,58571.4,0
1.336,15,0.004,0,77714.3,0
1.35,16,0.004,0.014,62857.1,0
1.356,17,0.004,0.006,66166.7,0
1.37,18,0.004,0.014,58709.7,0
1.382,19,0.004,0.012,56432.4,0
1.396,20,0.004,0.014,52727.3,0
1.398,21,0.004,0.002,57511.1,0
1.422,22,0.004,0.024,49473.7,0
1.422,23,0.004,0,0,0
1.444,24,0.004,0.022,45454.5,0
1.444,25,0.004,0,69818.2,0
1.468,26,0.004,0.024,45043.5,0
1.468,27,0.004,0,56695.7,0
1.487,28,0.004,0.019,48369.2,0
1.494,29,0.004,0.007,51111.1,0
1.502,30,0.004,0.008,52700,0
1.502,31,0.004,0,59400,0
1.522,32,0.004,0.02,50000,0
1.522,33,0.004,0,0,0
1.536,34,0.004,0.014,71428.6,0
1.538,35,0.004,0.002,96000,0
1.556,36,0.004,0.018,58823.5,0
1.564,37,0.004,0.008,60381,0
1.576,38,0.004,0.012,56888.9,0
1.584,39,0.004,0.008,58193.5,0
1.608,40,0.004,0.024,48186,0
1.608,41,0.004,0,54418.6,0
1.622,42,0.004,0.014,52160,0
1.622,43,0.004,0,0,0
1.642,44,0.004,0.02,39200,0
1.642,45,0.004,0,66000,0
1.662,46,0.004,0.02,44600,0
1.662,47,0.004,0,58000,0
1.682,48,0.004,0.02,46400,0
1.682,49,0.004,0,55333.3,0
1.702,50,0.004,0.02,47300,0
1.702,51,0.004,0,54000,0
