Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.173,1,0.004,0,456.948,0
1.187,2,0.004,0.014,33142.9,0
1.193,3,0.004,0.006,50000,0
1.207,4,0.004,0.014,43058.8,0
1.213,5,0.004,0.006,50000,0
1.227,6,0.004,0.014,45629.6,0
1.233,7,0.004,0.006,50000,0
1.247,8,0.004,0.014,46810.8,0
1.253,9,0.004,0.006,50000,0
1.267,10,0.004,0.014,47489.4,0
1.273,11,0.004,0.006,50000,0
1.287,12,0.004,0.014,33142.9,0
1.293,13,0.004,0.006,50000,0
1.307,14,0.004,0.014,43058.8,0
1.313,15,0.004,0.006,50000,0
1.327,16,0.004,0.014,45629.6,0
1.333,17,0.004,0.006,50000,0
1.347,18,0.004,0.014,46810.8,0
1.353,19,0.004,0.006,50000,0
1.367,20,0.004,0.014,47489.4,0
1.373,21,0.004,0.006,50000,0
1.387,22,0.004,0.014,33142.9,0
1.393,23,0.004,0.006,50000,0
1.407,24,0.004,0.014,43058.8,0
1.413,25,0.004,0.006,50000,0
1.427,26,0.004,0.014,45629.6,0
1.433,27,0.004,0.006,50000,0
1.447,28,0.004,0.014,46810.8,0
1.453,29,0.004,0.006,50000,0
1.467,30,0.004,0.014,47489.4,0
1.473,31,0.004,0.006,50000,0
1.487,32,0.004,0.014,33142.9,0
1.493,33,0.004,0.006,50000,0
1.507,34,0.004,0.014,43058.8,0
1.513,35,0.004,0.006,50000,0
1.527,36,0.004,0.014,45629.6,0
1.533,37,0.004,0.006,50000,0
1.547,38,0.004,0.014,46810.8,0
1.553,39,0.004,0.006,50000,0
1.567,40,0.004,0.014,47489.4,0
1.573,41,0.004,0.006,50000,0
1.587,42,0.004,0.014,33142.9,0
1.593,43,0.004,0.006,50000,0
1.607,44,0.004,0.014,43058.8,0
1.613,45,0.004,0.006,50000,0
1.627,46,0.004,0.014,45629.6,0
1.633,47,0.004,0.006,50000,0
1.647,48,0.004,0.014,46810.8,0
1.653,49,0.004,0.006,50000,0
1.667,50,0.004,0.014,47489.4,0
1.673,51,0.004,0.006,50000,0
1.687,52,0.004,0.014,33142.9,0
1.693,53,0.004,0.006,50000,0
1.707,54,0.004,0.014,43058.8,0
1.713,55,0.004,0.006,50000,0
1.727,56,0.004,0.014,45629.6,0
1.733,57,0.004,0.006,50000,0
1.747,58,0.004,0.014,46810.8,0
1.753,59,0.004,0.006,50000,0
1.767,60,0.004,0.014,47489.4,0
1.773,61,0.004,0.006,50000,0
1.787,62,0.004,0.014,33142.9,0
1.793,63,0.004,0.006,50000,0
1.807,64,0.004,0.014,43058.8,0
1.813,65,0.004,0.006,50000,0
1.827,66,0.004,0.014,45629.6,0
1.833,67,0.004,0.006,50000,0
1.847,68,0.004,0.014,46810.8,0
1.853,69,0.004,0.006,50000,0
1.867,70,0.004,0.014,47489.4,0
1.873,71,0.004,0.006,50000,0
1.887,72,0.004,0.014,33142.9,0
1.893,73,0.004,0.006,50000,0
1.907,74,0.004,0.014,43058.8,0
1.913,75,0.004,0.006,50000,0
1.927,76,0.004,0.014,45629.6,0
1.933,77,0.004,0.006,50000,0
1.947,78,0.004,0.014,46810.8,0
1.953,79,0.004,0.006,50000,0
1.967,80,0.004,0.014,47489.4,0
1.973,81,0.004,0.006,50000,0
1.987,82,0.004,0.014,33142.9,0
1.993,83,0.004,0.006,50000,0
2.007,84,0.004,0.014,43058.8,0
2.013,85,0.004,0.006,50000,0
2.027,86,0.004,0.014,45629.6,0
2.033,87,0.004,0.006,50000,0
2.047,88,0.004,0.014,46810.8,0
2.053,89,0.004,0.006,50000,0
2.067,90,0.004,0.014,47489.4,0
2.073,91,0.004,0.006,50000,0
2.087,92,0.004,0.014,33142.9,0
2.093,93,0.004,0.006,50000,0
2.107,94,0.004,0.014,43058.8,0
2.113,95,0.004,0.006,50000,0
2.127,96,0.004,0.014,45629.6,0
2.133,97,0.004,0.006,50000,0
2.147,98,0.004,0.014,46810.8,0
2.153,99,0.004,0.006,50000,0
2.167,100,0.004,0.014,47489.4,0
2.173,101,0.004,0.006,50000,0
2.187,102,0.004,0.014,33142.9,0
2.193,103,0.004,0.006,50000,0
2.207,104,0.004,0.014,43058.8,0
2.213,105,0.004,0.006,50000,0
2.227,106,0.004,0.014,45629.6,0
2.233,107,0.004,0.006,50000,0
2.247,108,0.004,0.014,46810.8,0
2.253,109,0.004,0.006,50000,0
2.267,110,0.004,0.014,47489.4,0
2.273,111,0.004,0.006,50000,0
2.287,112,0.004,0.014,33142.9,0
2.293,113,0.004,0.006,50000,0
2.307,114,0.004,0.014,43058.8,0
2.313,115,0.004,0.006,50000,0
2.327,116,0.004,0.014,45629.6,0
2.333,117,0.004,0.006,50000,0
2.347,118,0.004,0.014,46810.8,0
2.353,119,0.004,0.006,50000,0
2.367,120,0.004,0.014,47489.4,0
2.373,121,0.004,0.006,50000,0
2.387,122,0.004,0.014,33142.9,0
2.393,123,0.004,0.006,50000,0
2.407,124,0.004,0.014,43058.8,0
2.413,125,0.004,0.006,50000,0
2.427,126,0.004,0.014,45629.6,0
2.433,127,0.004,0.006,50000,0
2.447,128,0.004,0.014,46810.8,0
2.453,129,0.004,0.006,50000,0
2.467,130,0.004,0.014,47489.4,0
2.473,131,0.004,0.006,50000,0
2.487,132,0.004,0.014,33142.9,0
2.493,133,0.004,0.006,50000,0
2.507,134,0.004,0.014,43058.8,0
2.513,135,0.004,0.006,50000,0
2.527,136,0.004,0.014,45629.6,0
2.533,137,0.004,0.006,50000,0
2.547,138,0.004,0.014,46810.8,0
2.553,139,0.004,0.006,50000,0
2.567,140,0.004,0.014,47489.4,0
2.573,141,0.004,0.006,50000,0
2.587,142,0.004,0.014,33142.9,0
2.593,143,0.004,0.006,50000,0
2.607,144,0.004,0.014,43058.8,0
2.613,145,0.004,0.006,50000,0
2.627,146,0.004,0.014,45629.6,0
2.633,147,0.004,0.006,50000,0
2.647,148,0.004,0.014,46810.8,0
2.653,149,0.004,0.006,50000,0
2.667,150,0.004,0.014,47489.4,0
2.673,151,0.004,0.006,50000,0
2.687,152,0.004,0.014,33142.9,0
2.693,153,0.004,0.006,50000,0
2.707,154,0.004,0.014,43058.8,0
2.713,155,0.004,0.006,50000,0
2.727,156,0.004,0.014,45629.6,0
2.733,157,0.004,0.006,50000,0
2.747,158,0.004,0.014,46810.8,0
2.753,159,0.004,0.006,50000,0
2.767,160,0.004,0.014,47489.4,0
2.773,161,0.004,0.006,50000,0
2.787,162,0.004,0.014,33142.9,0
2.793,163,0.004,0.006,50000,0
2.807,164,0.004,0.014,43058.8,0
2.813,165,0.004,0.006,50000,0
2.827,166,0.004,0.014,45629.6,0
2.833,167,0.004,0.006,50000,0
2.847,168,0.004,0.014,46810.8,0
2.853,169,0.004,0.006,50000,0
2.867,170,0.004,0.014,47489.4,0
2.873,171,0.004,0.006,50000,0
2.887,172,0.004,0.014,33142.9,0
2.893,173,0.004,0.006,50000,0
2.907,174,0.004,0.014,43058.8,0
2.913,175,0.004,0.006,50000,0
2.927,176,0.004,0.014,45629.6,0
2.933,177,0.004,0.006,50000,0
2.947,178,0.004,0.014,46810.8,0
2.953,179,0.004,0.006,50000,0
2.967,180,0.004,0.014,47489.4,0
2.973,181,0.004,0.006,50000,0
2.987,182,0.004,0.014,33142.9,0
2.993,183,0.004,0.006,50000,0
3.007,184,0.004,0.014,43058.8,0
3.013,185,0.004,0.006,50000,0
3.027,186,0.004,0.014,45629.6,0
3.033,187,0.004,0.006,50000,0
3.047,188,0.004,0.014,46810.8,0
3.053,189,0.004,0.006,50000,0
3.067,190,0.004,0.014,47489.4,0
3.073,191,0.004,0.006,50000,0
3.087,192,0.004,0.014,33142.9,0
3.093,193,0.004,0.006,50000,0
3.107,194,0.004,0.014,43058.8,0
3.113,195,0.004,0.006,50000,0
3.127,196,0.004,0.014,45629.6,0
3.133,197,0.004,0.006,50000,0
3.147,198,0.004,0.014,46810.8,0
3.153,199,0.004,0.006,50000,0
3.167,200,0.004,0.014,47489.4,0
3.173,201,0.004,0.006,50000,0
3.187,202,0.004,0.014,33142.9,0
3.193,203,0.004,0.006,50000,0
3.207,204,0.004,0.014,43058.8,0
3.213,205,0.004,0.006,50000,0
3.227,206,0.004,0.014,45629.6,0
3.233,207,0.004,0.006,50000,0
3.247,208,0.004,0.014,46810.8,0
3.253,209,0.004,0.006,50000,0
3.267,210,0.004,0.014,47489.4,0
3.273,211,0.004,0.006,50000,0
3.287,212,0.004,0.014,33142.9,0
3.293,213,0.004,0.006,50000,0
3.307,214,0.004,0.014,43058.8,0
3.313,215,0.004,0.006,50000,0
3.327,216,0.004,0.014,45629.6,0
3.333,217,0.004,0.006,50000,0
3.347,218,0.004,0.014,46810.8,0
3.353,219,0.004,0.006,50000,0
3.367,220,0.004,0.014,47489.4,0
3.373,221,0.004,0.006,50000,0
3.387,222,0.004,0.014,33142.9,0
3.393,223,0.004,0.006,50000,0
3.407,224,0.004,0.014,43058.8,0
3.413,225,0.004,0.006,50000,0
3.427,226,0.004,0.014,45629.6,0
3.433,227,0.004,0.006,50000,0
3.447,228,0.004,0.014,46810.8,0
3.453,229,0.004,0.006,50000,0
3.467,230,0.004,0.014,47489.4,0
3.473,231,0.004,0.006,50000,0
3.487,232,0.004,0.014,33142.9,0
3.493,233,0.004,0.006,50000,0
3.507,234,0.004,0.014,43058.8,0
3.513,235,0.004,0.006,50000,0
3.527,236,0.004,0.014,45629.6,0
3.533,237,0.004,0.006,50000,0
3.547,238,0.004,0.014,46810.8,0
3.553,239,0.004,0.006,50000,0
3.567,240,0.004,0.014,47489.4,0
3.573,241,0.004,0.006,50000,0
3.587,242,0.004,0.014,33142.9,0
3.593,243,0.004,0.006,50000,0
3.607,244,0.004,0.014,43058.8,0
3.613,245,0.004,0.006,50000,0
3.627,246,0.004,0.014,45629.6,0
3.633,247,0.004,0.006,50000,0
3.647,248,0.004,0.014,46810.8,0
3.653,249,0.004,0.006,50000,0
3.667,250,0.004,0.014,47489.4,0
3.673,251,0.004,0.006,50000,0
3.687,252,0.004,0.014,33142.9,0
3.693,253,0.004,0.006,50000,0
3.707,254,0.004,0.014,43058.8,0
3.713,255,0.004,0.006,50000,0
3.727,256,0.004,0.014,45629.6,0
3.733,257,0.004,0.006,50000,0
3.747,258,0.004,0.014,46810.8,0
3.753,259,0.004,0.006,50000,0
3.767,260,0.004,0.014,47489.4,0
3.773,261,0.004,0.006,50000,0
3.787,262,0.004,0.014,33142.9,0
3.793,263,0.004,0.006,50000,0
3.807,264,0.004,0.014,43058.8,0
3.813,265,0.004,0.006,50000,0
3.827,266,0.004,0.014,45629.6,0
3.833,267,0.004,0.006,50000,0
3.847,268,0.004,0.014,46810.8,0
3.853,269,0.004,0.006,50000,0
3.867,270,0.004,0.014,47489.4,0
3.873,271,0.004,0.006,50000,0
3.887,272,0.004,0.014,33142.9,0
3.893,273,0.004,0.006,50000,0
3.907,274,0.004,0.014,43058.8,0
3.913,275,0.004,0.006,50000,0
3.927,276,0.004,0.014,45629.6,0
3.933,277,0.004,0.006,50000,0
3.947,278,0.004,0.014,46810.8,0
3.953,279,0.004,0.006,50000,0
3.967,280,0.004,0.014,47489.4,0
3.973,281,0.004,0.006,50000,0
3.987,282,0.004,0.014,33142.9,0
3.993,283,0.004,0.006,50000,0
4.007,284,0.004,0.014,43058.8,0
4.013,285,0.004,0.006,50000,0
4.027,286,0.004,0.014,45629.6,0
4.033,287,0.004,0.006,50000,0
4.047,288,0.004,0.014,46810.8,0
4.053,289,0.004,0.006,50000,0
4.067,290,0.004,0.014,47489.4,0
4.073,291,0.004,0.006,50000,0
4.087,292,0.004,0.014,33142.9,0
4.093,293,0.004,0.006,50000,0
4.107,294,0.004,0.014,43058.8,0
4.113,295,0.004,0.006,50000,0
4.127,296,0.004,0.014,45629.6,0
4.133,297,0.004,0.006,50000,0
4.147,298,0.004,0.014,46810.8,0
4.153,299,0.004,0.006,50000,0
4.167,300,0.004,0.014,47489.4,0
4.173,301,0.004,0.006,50000,0
4.187,302,0.004,0.014,33142.9,0
4.193,303,0.004,0.006,50000,0
4.207,304,0.004,0.014,43058.8,0
4.213,305,0.004,0.006,50000,0
4.227,306,0.004,0.014,45629.6,0
4.233,307,0.004,0.006,50000,0
4.247,308,0.004,0.014,46810.8,0
4.253,309,0.004,0.006,50000,0
4.267,310,0.004,0.014,47489.4,0
4.273,311,0.004,0.006,50000,0
4.287,312,0.004,0.014,33142.9,0
4.293,313,0.004,0.006,50000,0
4.307,314,0.004,0.014,43058.8,0
4.313,315,0.004,0.006,50000,0
4.327,316,0.004,0.014,45629.6,0
4.333,317,0.004,0.006,50000,0
4.347,318,0.004,0.014,46810.8,0
4.353,319,0.004,0.006,50000,0
4.367,320,0.004,0.014,47489.4,0
4.373,321,0.004,0.006,50000,0
4.387,322,0.004,0.014,33142.9,0
4.393,323,0.004,0.006,50000,0
4.407,324,0.004,0.014,43058.8,0
4.413,325,0.004,0.006,50000,0
4.427,326,0.004,0.014,45629.6,0
4.433,327,0.004,0.006,50000,0
4.447,328,0.004,0.014,46810.8,0
4.453,329,0.004,0.006,50000,0
4.467,330,0.004,0.014,47489.4,0
4.473,331,0.004,0.006,50000,0
4.487,332,0.004,0.014,33142.9,0
4.493,333,0.004,0.006,50000,0
4.507,334,0.004,0.014,43058.8,0
4.513,335,0.004,0.006,50000,0
4.527,336,0.004,0.014,45629.6,0
4.533,337,0.004,0.006,50000,0
4.547,338,0.004,0.014,46810.8,0
4.553,339,0.004,0.006,50000,0
4.567,340,0.004,0.014,47489.4,0
4.573,341,0.004,0.006,50000,0
4.587,342,0.004,0.014,33142.9,0
4.593,343,0.004,0.006,50000,0
4.607,344,0.004,0.014,43058.8,0
4.613,345,0.004,0.006,50000,0
4.627,346,0.004,0.014,45629.6,0
4.633,347,0.004,0.006,50000,0
4.647,348,0.004,0.014,46810.8,0
4.653,349,0.004,0.006,50000,0
4.667,350,0.004,0.014,47489.4,0
4.673,351,0.004,0.006,50000,0
4.687,352,0.004,0.014,33142.9,0
4.693,353,0.004,0.006,50000,0
4.707,354,0.004,0.014,43058.8,0
4.713,355,0.004,0.006,50000,0
4.727,356,0.004,0.014,45629.6,0
4.733,357,0.004,0.006,50000,0
4.747,358,0.004,0.014,46810.8,0
4.753,359,0.004,0.006,50000,0
4.767,360,0.004,0.014,47489.4,0
4.773,361,0.004,0.006,50000,0
4.787,362,0.004,0.014,33142.9,0
4.793,363,0.004,0.006,50000,0
4.807,364,0.004,0.014,43058.8,0
4.813,365,0.004,0.006,50000,0
4.827,366,0.004,0.014,45629.6,0
4.833,367,0.004,0.006,50000,0
4.847,368,0.004,0.014,46810.8,0
4.853,369,0.004,0.006,50000,0
4.867,370,0.004,0.014,47489.4,0
4.873,371,0.004,0.006,50000,0
4.887,372,0.004,0.014,33142.9,0
4.893,373,0.004,0.006,50000,0
4.907,374,0.004,0.014,43058.8,0
4.913,375,0.004,0.006,50000,0
4.927,376,0.004,0.014,45629.6,0
4.933,377,0.004,0.006,50000,0
4.947,378,0.004,0.014,46810.8,0
4.953,379,0.004,0.006,50000,0
4.967,380,0.004,0.014,47489.4,0
4.973,381,0.004,0.006,50000,0
4.987,382,0.004,0.014,33142.9,0
4.993,383,0.004,0.006,50000,0
5.007,384,0.004,0.014,43058.8,0
5.013,385,0.004,0.006,50000,0
5.027,386,0.004,0.014,45629.6,0
5.033,387,0.004,0.006,50000,0
5.047,388,0.004,0.014,46810.8,0
5.053,389,0.004,0.006,50000,0
5.067,390,0.004,0.014,47489.4,0
5.073,391,0.004,0.006,50000,0
5.087,392,0.004,0.014,33142.9,0
5.093,393,0.004,0.006,50000,0
5.107,394,0.004,0.014,43058.8,0
5.113,395,0.004,0.006,50000,0
5.127,396,0.004,0.014,45629.6,0
5.133,397,0.004,0.006,50000,0
5.147,398,0.004,0.014,46810.8,0
5.153,399,0.004,0.006,50000,0
5.167,400,0.004,0.014,47489.4,0
5.173,401,0.004,0.006,50000,0
5.187,402,0.004,0.014,33142.9,0
5.193,403,0.004,0.006,50000,0
5.207,404,0.004,0.014,43058.8,0
5.213,405,0.004,0.006,50000,0
5.227,406,0.004,0.014,45629.6,0
5.233,407,0.004,0.006,50000,0
5.247,408,0.004,0.014,46810.8,0
5.253,409,0.004,0.006,50000,0
5.267,410,0.004,0.014,47489.4,0
5.273,411,0.004,0.006,50000,0
5.287,412,0.004,0.014,33142.9,0
5.293,413,0.004,0.006,50000,0
5.307,414,0.004,0.014,43058.8,0
5.313,415,0.004,0.006,50000,0
5.327,416,0.004,0.014,45629.6,0
5.333,417,0.004,0.006,50000,0
5.347,418,0.004,0.014,46810.8,0
5.353,419,0.004,0.006,50000,0
5.367,420,0.004,0.014,47489.4,0
5.373,421,0.004,0.006,50000,0
5.387,422,0.004,0.014,33142.9,0
5.393,423,0.004,0.006,50000,0
5.407,424,0.004,0.014,43058.8,0
5.413,425,0.004,0.006,50000,0
5.427,426,0.004,0.014,45629.6,0
5.433,427,0.004,0.006,50000,0
5.447,428,0.004,0.014,46810.8,0
5.453,429,0.004,0.006,50000,0
5.467,430,0.004,0.014,47489.4,0
5.473,431,0.004,0.006,50000,0
5.487,432,0.004,0.014,33142.9,0
5.493,433,0.004,0.006,50000,0
5.507,434,0.004,0.014,43058.8,0
5.513,435,0.004,0.006,50000,0
5.527,436,0.004,0.014,45629.6,0
